Unnamed: 0,energy_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,g_sum,other_carbs,reconstructed_energy,boxcox_carbohydrates_100g,transformed_carbohydrates_100g,boxcox_fat_100g,transformed_fat_100g,boxcox_proteins_100g,transformed_proteins_100g,boxcox_sugars_100g,transformed_sugars_100g,boxcox_other_carbs,transformed_other_carbs,boxcox_salt_100g,transformed_salt_100g,boxcox_energy_100g,transformed_energy_100g,boxcox_reconstructed_energy,transformed_reconstructed_energy,boxcox_g_sum,transformed_g_sum,cluster,product,category,certainty,alternative_cluster,alternative_category,anomaly
119165,1464.0,0.0,85.0,77.5,0.0,0.762,86.0,7.5,1445.0,2.9836269917354517,1.7889454408921055,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,1.4010949959354748,1.8415073368745136,-0.7546653726250431,-0.1055476213939418,-3.0115690170486733,0.2888377361983035,1.113806182626291,0.5351684600015225,1.0902076516921446,0.5042425795305528,4.0979728176658,1.0185591324037802,12,Strawberry,strange cluster 12,1.0,7,gummy bears & fruit snacks,0
34040,218.0,0.87,8.7,2.61,3.48,0.39878,13.0,6.09,239.25,-0.5749670490255306,-0.8116258068547546,-1.850168782344968,-0.8726642000236748,-1.2143265679600108,-0.2437505628960034,-1.5688221410050058,-0.5568933874399664,-0.8912323576362451,-0.2239676715459806,-3.4779969117054916,-0.1715554797868461,-0.4357831757778118,-1.2343304066147474,-0.4033124499679877,-1.191851398002111,-0.2432786387740196,-1.171869194446148,18,Brussels Sprouts,tomato sauce,0.9316,1,beans & peas,0
15041,218.0,0.0,14.29,10.39,0.0,0.0,14.0,3.8999999999999986,242.93,-0.2797455284280586,-0.5958820076497978,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-0.5243132360443711,0.2866153027692299,-1.147441987860682,-0.4461323276531975,-4.552555808837864,-1.2322116542642032,-0.4357831757778118,-1.2343304066147474,-0.3975996970625903,-1.185363794797302,-0.1957650001399752,-1.1478956418841706,19,Apples,sweet drinks,0.9932,12,strange cluster 12,0
41965,222.0,0.0,9.41,2.35,3.53,0.04572,13.0,7.0600000000000005,219.98,-0.5366223414212513,-0.7836040255116867,-2.174981237325089,-1.172781757941142,-1.2063431665483837,-0.2331868519894752,-1.6326383529969728,-0.6084291179022023,-0.7954581492992412,-0.1409198796246059,-4.3512632081097085,-1.0335233921236284,-0.4294740136936721,-1.227125881689072,-0.4334534171921723,-1.226080540903585,-0.2432786387740196,-1.171869194446148,18,Brussels Sprouts,tomato sauce,0.9786,1,beans & peas,0
6367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.093501186750432,-1.1905633743594268,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-2.5559505131365374,-1.354063575545146,-1.9763648948769852,-1.1649084814431685,-4.552555808837864,-1.2322116542642032,-0.8135548282143799,-1.665713409602523,-0.8135548282143799,-1.657737077276833,-0.7807535546266506,-1.443058341738797,5,Rosemary,water and diet drinks,1.0,12,strange cluster 12,0
139538,176.0,0.0,9.17,3.33,1.67,0.0203199999999999,11.0,5.84,184.28,-0.5495511616723322,-0.7930522283207541,-2.174981237325089,-1.172781757941142,-1.559588765857853,-0.7006047103316367,-1.4110697226637512,-0.4294980774139788,-0.9173909260340148,-0.2466503058687296,-4.457971871532733,-1.1388514509502767,-0.5031108871005198,-1.3112129098607013,-0.4903586313006973,-1.290704104277384,-0.3363809452526468,-1.2188450334299354,18,Pumpkin,tomato sauce,1.0,1,beans & peas,0
217575,168.0,0.1,10.0,10.0,0.1,0.03,10.0,0.0,175.39999999999998,-0.5049743150297714,-0.7604760860673727,-2.13144387445196,-1.132554461163222,-2.0178675497034906,-1.3070034541164564,-0.5574057835915779,0.2598909241596651,-1.9763648948769852,-1.1649084814431685,-4.415927503642515,-1.097351056208058,-0.5161720494060692,-1.3261276430905184,-0.5047424899478854,-1.3070389202588084,-0.3818931076096162,-1.241808718128507,19,Orange,sweet drinks,1.0,18,tomato sauce,0
90418,222.0,0.0,8.24,0.0,3.53,0.04572,12.0,8.24,200.09,-0.599972490724337,-0.8298994373881269,-2.174981237325089,-1.172781757941142,-1.2063431665483837,-0.2331868519894752,-2.5559505131365374,-1.354063575545146,-0.6892731394330498,-0.0488446669169541,-4.3512632081097085,-1.0335233921236284,-0.4294740136936721,-1.227125881689072,-0.4649802631166003,-1.2618835364197385,-0.2901625495280113,-1.1955250105672597,18,Brussels Sprouts,tomato sauce,0.6943,1,beans & peas,0
146578,2092.0,21.43,53.57,10.71,17.86,1.36144,94.0,42.86,2007.2200000000005,1.5948187000830696,0.77402357272327,0.1589129879765218,0.9836707567201752,-0.0070221482538309,1.3537658600381317,-0.497944032784684,0.3079101447737382,0.8854802416745754,1.3166564778330836,-2.5339348520621403,0.7602922349570581,1.744604158767867,1.2554859413992447,1.6583015468395563,1.1493899954652749,4.640710098015719,1.292403466196619,11,Peanut,chips & popcorn,0.9935,6,strange cluster 6,0
76661,75.0,0.0,2.73,1.82,0.91,0.20828,4.0,0.91,61.88,-0.913863681372036,-1.059286772939578,-2.174981237325089,-1.172781757941142,-1.7531841047501346,-0.9567718610815578,-1.7772189531276137,-0.7251873303661283,-1.685627205861686,-0.9128038332263574,-3.853918606823365,-0.5426134721508041,-0.6745750313738377,-1.5070103366508782,-0.6983035646633716,-1.526853687227639,-0.6368325619341777,-1.3704413504437376,18,Celery,tomato sauce,1.0,5,water and diet drinks,0
56488,1670.0,2.0,92.0,72.0,0.0,3.66,98.0,20.0,1638.0,3.2851990394939645,2.0093301174081213,-1.5463833081882334,-0.5919749800234789,-2.0567176527571847,-1.3584102713598358,1.325882073471085,1.780768023486722,0.0491489847413509,0.5914563909919898,-1.638318003867143,1.6443215259889783,1.3274624295839357,0.7791456690515383,1.290900440544229,0.7321563720050485,4.915540256088394,1.4310721817399283,6,Pistachio,strange cluster 6,1.0,7,gummy bears & fruit snacks,1
